sector,lastVisit,x,y
13,328.79915,-65,-43.3012701892219
15,244.901588636364,-65,-8.66025403784438
16,900.98115,-75,8.66025403784438
17,641.069512261905,-65,25.9807621135332
23,315.717612001488,-45,-43.3012701892219
24,775.276637351191,-55,-25.9807621135332
25,489.818764206633,-45,-8.66025403784438
26,363.305685454545,-55,8.66025403784438
27,216.626716634605,-45,25.9807621135332
28,436.010867113095,-55,43.3012701892219
29,392.925966666667,-45,60.6217782649107
32,530.465447537879,-35,-60.6217782649107
33,153.509795207973,-25,-43.3012701892219
34,165.102358138462,-35,-25.9807621135332
35,154.818167167044,-25,-8.66025403784438
36,123.548806228776,-35,8.66025403784438
37,111.566718784318,-25,25.9807621135332
38,292.717312563776,-35,43.3012701892219
39,571.66358764881,-25,60.6217782649107
41,408.6549,-5,-77.9422863405995
42,256.537978660714,-15,-60.6217782649107
43,224.729983146529,-5,-43.3012701892219
44,151.435986987989,-15,-25.9807621135332
45,239.789630872547,-5,-8.66025403784438
46,151.39617167824,-15,8.66025403784438
47,137.408617631759,-5,25.9807621135332
48,177.25881151202,-15,43.3012701892219
49,596.971800372549,-5,60.6217782649107
51,1044.90584,15,-77.9422863405995
52,822.6121471875,5,-60.6217782649107
53,297.740551666667,15,-43.3012701892219
54,187.681915593893,5,-25.9807621135332
55,162.592492476645,15,-8.66025403784438
56,152.64753114497,5,8.66025403784438
57,163.234209468746,15,25.9807621135332
58,133.054487081584,5,43.3012701892219
59,786.857553030303,15,60.6217782649107
62,350.584433333333,25,-60.6217782649107
63,280.46513764881,35,-43.3012701892219
64,283.76487140873,25,-25.9807621135332
65,195.894737362865,35,-8.66025403784438
66,140.70059530005,25,8.66025403784438
67,224.933263651515,35,25.9807621135332
68,218.430429160096,25,43.3012701892219
69,73.4048313988095,35,60.6217782649107
73,485.502448809524,55,-43.3012701892219
74,364.133577470238,45,-25.9807621135332
75,407.046039340278,55,-8.66025403784438
76,271.0923883,45,8.66025403784438
77,382.673102678571,55,25.9807621135332
78,203.71730952381,45,43.3012701892219
84,860.09796,65,-25.9807621135332
86,469.76456,65,8.66025403784438
