sector,visits,x,y
12,1,-75,-60.6217782649107
13,2.33333333333333,-65,-43.3012701892219
14,1,-75,-25.9807621135332
15,4.60714285714286,-65,-8.66025403784438
16,1.33928571428571,-75,8.66025403784438
17,7.23214285714286,-65,25.9807621135332
18,1,-75,43.3012701892219
22,1,-55,-60.6217782649107
23,9.66071428571429,-45,-43.3012701892219
24,5.21428571428571,-55,-25.9807621135332
25,17.8392857142857,-45,-8.66025403784438
26,10.2321428571429,-55,8.66025403784438
27,42.4107142857143,-45,25.9807621135332
28,5.17857142857143,-55,43.3012701892219
29,1.46153846153846,-45,60.6217782649107
31,1,-25,-77.9422863405995
32,6.67857142857143,-35,-60.6217782649107
33,81.2321428571429,-25,-43.3012701892219
34,55.0357142857143,-35,-25.9807621135332
35,83.1071428571429,-25,-8.66025403784438
36,120.267857142857,-35,8.66025403784438
37,143.875,-25,25.9807621135332
38,21.0178571428571,-35,43.3012701892219
39,6.14285714285714,-25,60.6217782649107
40,1,-35,77.9422863405995
41,1.28571428571429,-5,-77.9422863405995
42,11.2321428571429,-15,-60.6217782649107
43,40.7678571428571,-5,-43.3012701892219
44,81.375,-15,-25.9807621135332
45,43.0892857142857,-5,-8.66025403784438
46,92.2678571428571,-15,8.66025403784438
47,105.571428571429,-5,25.9807621135332
48,69.3392857142857,-15,43.3012701892219
49,6.46428571428571,-5,60.6217782649107
50,1,-15,77.9422863405995
51,1.17857142857143,15,-77.9422863405995
52,8.83928571428571,5,-60.6217782649107
53,11.7857142857143,15,-43.3012701892219
54,51.4107142857143,5,-25.9807621135332
55,64.1964285714286,15,-8.66025403784438
56,86.8214285714286,5,8.66025403784438
57,73.0892857142857,15,25.9807621135332
58,104.160714285714,5,43.3012701892219
59,3.42857142857143,15,60.6217782649107
60,1,5,77.9422863405995
61,1,35,-77.9422863405995
62,1.36363636363636,25,-60.6217782649107
63,6.46428571428571,35,-43.3012701892219
64,18.0714285714286,25,-25.9807621135332
65,41.5535714285714,35,-8.66025403784438
66,94.2678571428571,25,8.66025403784438
67,17.8571428571429,35,25.9807621135332
68,36.3928571428571,25,43.3012701892219
69,3.73214285714286,35,60.6217782649107
70,1,25,77.9422863405995
72,1,45,-60.6217782649107
73,3.23214285714286,55,-43.3012701892219
74,11.9107142857143,45,-25.9807621135332
75,5.25,55,-8.66025403784438
76,10.2592592592593,45,8.66025403784438
77,5.01785714285714,55,25.9807621135332
78,2.03571428571429,45,43.3012701892219
79,1,55,60.6217782649107
80,1,45,77.9422863405995
82,1,65,-60.6217782649107
83,1,75,-43.3012701892219
84,1.17857142857143,65,-25.9807621135332
85,1,75,-8.66025403784438
86,1.58823529411765,65,8.66025403784438
87,1,75,25.9807621135332
88,1,65,43.3012701892219
94,1,85,-25.9807621135332
